Frame Number,X Center,Y Center,Width,Height
317,610,418,74,74
318,606,416,76,76
319,604,406,76,76
320,604,396,68,68
321,777,214,52,52
322,776,212,78,78
323,817,212,72,72
324,584,364,92,92
325,576,382,76,76
326,584,398,76,76
327,584,396,74,74
328,294,159,68,68
329,580,452,80,80
330,578,482,80,80
331,570,518,82,82
332,566,558,80,80
333,570,510,82,82
334,574,460,80,80
335,578,416,68,68
336,710,234,78,78
337,688,244,98,98
338,554,340,94,94
339,554,302,80,80
340,643,239,78,78
341,648,240,62,62
342,171,183,78,78
343,548,218,78,78
344,670,226,60,60
345,668,224,60,60
346,659,222,60,60
347,640,234,80,80
348,653,222,76,76
349,650,223,60,60
350,619,222,60,60
351,614,224,62,62
352,639,229,56,56
353,556,224,54,54
354,510,320,84,84
355,510,356,74,74
356,508,396,72,72
357,506,450,80,80
358,585,228,60,60
359,568,225,56,56
360,516,558,72,72
361,526,494,78,78
362,534,442,78,78
363,542,398,78,78
364,544,360,78,78
365,573,205,76,76
366,566,302,68,68
367,554,302,72,72
368,558,290,88,88
369,560,276,86,86
370,564,266,80,80
371,568,272,92,92
372,574,272,86,86
373,582,270,78,78
374,584,284,80,80
375,584,280,76,76
376,586,302,92,92
377,592,312,84,84
378,73,148,60,60
379,574,348,76,76
380,588,372,76,76
381,590,370,72,72
382,588,406,74,74
383,536,200,64,64
384,572,498,76,76
385,580,508,78,78
386,592,446,70,70
387,594,402,70,70
388,44,144,62,62
389,638,340,68,68
390,610,321,60,60
391,610,306,72,72
392,614,278,72,72
393,614,262,72,72
394,631,222,72,72
395,628,218,60,60
396,624,226,72,72
397,353,208,72,72
398,634,199,78,78
399,993,217,60,60
400,657,202,60,60
401,357,198,60,60
402,991,217,78,78
403,660,218,60,60
404,662,254,66,66
405,664,264,86,86
406,985,206,60,60
407,952,44,60,60
408,652,307,60,60
409,632,338,52,52
410,636,381,60,60
411,625,416,78,78
413,659,456,60,60
414,661,399,68,68
415,670,351,72,72
416,669,311,54,54
417,659,265,54,54
418,944,167,60,60
419,655,237,54,54
420,653,214,60,60
421,426,84,78,78
422,634,204,84,84
423,642,163,64,64
